SeriesID,Industry,Metric,Source,Unit,Year,Period,PeriodName,Value,Footnotes
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M05,May,6471.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M06,June,6469.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M07,July,6466.6,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M08,August,6474.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M09,September,6488.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M10,October,6500.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M11,November,6507.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2020,M12,December,6511.2,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M01,January,6516.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M02,February,6513.6,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M03,March,6521.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M04,April,6522.8,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M05,May,6521.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M06,June,6517.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M07,July,6534.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M08,August,6542.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M09,September,6558.6,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M10,October,6574.4,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M11,November,6592.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2021,M12,December,6610.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M01,January,6616.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M02,February,6641.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M03,March,6650.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M04,April,6677.6,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M05,May,6673.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M06,June,6675.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M07,July,6687.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M08,August,6691.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M09,September,6685.2,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M10,October,6710.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M11,November,6710.8,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2022,M12,December,6710.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M01,January,6715.8,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M02,February,6708.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M03,March,6709.5,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M04,April,6722.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M05,May,6729.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M06,June,6728.2,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M07,July,6731.4,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M08,August,6727.8,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M09,September,6718.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M10,October,6711.6,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M11,November,6705.8,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2023,M12,December,6706.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M01,January,6698.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M02,February,6690.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M03,March,6688.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M04,April,6690.8,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M05,May,6698.6,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M06,June,6707.7,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M07,July,6704.9,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M08,August,6705.1,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M09,September,6707.4,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M10,October,6705.3,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M11,November,6719.0,
CES5552000001,Finance and Insurance,All Employees,CES,Thousands,2024,M12,December,6724.6,
