Date,Year,Month,State,UnemploymentRate,LaborForce,Employment_LAUS
2015-02-01,2015,2,Vermont,3.6,353453.0,340633.0
2015-02-01,2015,2,Virginia,4.7,4234354.0,4036591.0
2015-02-01,2015,2,Washington,5.5,3523168.0,3328956.0
2015-02-01,2015,2,West Virginia,6.5,794759.0,743045.0
2015-02-01,2015,2,Wisconsin,4.7,3092455.0,2947687.0
2015-02-01,2015,2,Wyoming,4.0,301683.0,289615.0
2015-03-01,2015,3,Alabama,6.1,2171897.0,2038730.0
2015-03-01,2015,3,Alaska,6.3,362346.0,339561.0
2015-03-01,2015,3,Arizona,6.3,3097355.0,2903640.0
2015-03-01,2015,3,Arkansas,5.4,1333305.0,1261263.0
2015-03-01,2015,3,California,6.6,18838028.0,17587613.0
2015-03-01,2015,3,Colorado,4.0,2809713.0,2696447.0
2015-03-01,2015,3,Connecticut,5.8,1912140.0,1800921.0
2015-03-01,2015,3,Delaware,5.0,459436.0,436691.0
2015-03-01,2015,3,District of Columbia,7.2,379763.0,352295.0
2015-03-01,2015,3,Florida,5.8,9560034.0,9008250.0
2015-03-01,2015,3,Georgia,6.3,4736589.0,4437340.0
2015-03-01,2015,3,Hawaii,3.7,681108.0,656158.0
2015-03-01,2015,3,Idaho,3.9,793573.0,762528.0
2015-03-01,2015,3,Illinois,6.0,6536364.0,6141482.0
2015-03-01,2015,3,Indiana,5.1,3248870.0,3083199.0
2015-03-01,2015,3,Iowa,3.8,1707029.0,1642145.0
2015-03-01,2015,3,Kansas,4.4,1497293.0,1431738.0
2015-03-01,2015,3,Kentucky,5.3,1983941.0,1878941.0
2015-03-01,2015,3,Louisiana,6.6,2164327.0,2021504.0
2015-03-01,2015,3,Maine,4.7,693273.0,660558.0
2015-03-01,2015,3,Maryland,5.3,3163898.0,2996917.0
2015-03-01,2015,3,Massachusetts,5.0,3627911.0,3445772.0
2015-03-01,2015,3,Michigan,5.8,4763675.0,4487914.0
2015-03-01,2015,3,Minnesota,3.8,3009713.0,2894084.0
2015-03-01,2015,3,Mississippi,6.6,1255338.0,1171967.0
2015-03-01,2015,3,Missouri,5.5,3050531.0,2881363.0
2015-03-01,2015,3,Montana,4.2,519291.0,497301.0
2015-03-01,2015,3,Nebraska,2.9,1012006.0,982371.0
2015-03-01,2015,3,Nevada,7.3,1392287.0,1291256.0
2015-03-01,2015,3,New Hampshire,3.7,750431.0,722483.0
2015-03-01,2015,3,New Jersey,6.2,4600965.0,4314341.0
2015-03-01,2015,3,New Mexico,6.6,941739.0,879470.0
2015-03-01,2015,3,New York,5.6,9730674.0,9187558.0
2015-03-01,2015,3,North Carolina,5.8,4693481.0,4421751.0
2015-03-01,2015,3,North Dakota,2.7,414498.0,403271.0
2015-03-01,2015,3,Ohio,5.1,5728534.0,5434385.0
2015-03-01,2015,3,Oklahoma,4.2,1823690.0,1747012.0
2015-03-01,2015,3,Oregon,5.7,1961126.0,1849561.0
2015-03-01,2015,3,Pennsylvania,5.6,6454403.0,6095810.0
2015-03-01,2015,3,Rhode Island,6.4,567037.0,530920.0
2015-03-01,2015,3,South Carolina,6.3,2238395.0,2096610.0
2015-03-01,2015,3,South Dakota,3.1,449521.0,435380.0
2015-03-01,2015,3,Tennessee,5.9,3070631.0,2888465.0
2015-03-01,2015,3,Texas,4.5,12994457.0,12414507.0
2015-03-01,2015,3,Utah,3.5,1449776.0,1398739.0
2015-03-01,2015,3,Vermont,3.6,353266.0,340619.0
2015-03-01,2015,3,Virginia,4.6,4232923.0,4037220.0
2015-03-01,2015,3,Washington,5.5,3528031.0,3334727.0
2015-03-01,2015,3,West Virginia,6.6,794694.0,742009.0
2015-03-01,2015,3,Wisconsin,4.6,3091803.0,2948476.0
2015-03-01,2015,3,Wyoming,4.0,301424.0,289372.0
2015-04-01,2015,4,Alabama,6.1,2173967.0,2040484.0
2015-04-01,2015,4,Alaska,6.3,362180.0,339383.0
2015-04-01,2015,4,Arizona,6.2,3101717.0,2909268.0
2015-04-01,2015,4,Arkansas,5.3,1334305.0,1263225.0
2015-04-01,2015,4,California,6.5,18848322.0,17616628.0
